Datum,/apple-aktie,/apple-aktie.1,/wirecard-aktie,/wirecard-aktie.1
18.06.2018,18.06.2018,162.69,18.06.2018,146.55
15.06.2018,15.06.2018,162.4,15.06.2018,147.5
14.06.2018,14.06.2018,164.33,14.06.2018,156.3
13.06.2018,13.06.2018,163.1,13.06.2018,151.55
12.06.2018,12.06.2018,162.31,12.06.2018,146.2
11.06.2018,11.06.2018,161.55,11.06.2018,144.0
08.06.2018,08.06.2018,162.06,08.06.2018,142.0
07.06.2018,07.06.2018,163.27,07.06.2018,139.45
06.06.2018,06.06.2018,164.26,06.06.2018,138.15
05.06.2018,05.06.2018,165.33,05.06.2018,137.8
04.06.2018,04.06.2018,164.49,04.06.2018,136.8
01.06.2018,01.06.2018,162.47,01.06.2018,133.3
31.05.2018,31.05.2018,160.68,31.05.2018,132.15
30.05.2018,30.05.2018,160.38,30.05.2018,130.45
29.05.2018,29.05.2018,162.43,29.05.2018,129.25
